"Country","País"
"Enable this Solution","Habilitar esta solución"
"Enable PayPal through Braintree","Activar PayPal a través de Braintree"
"Basic Braintree Settings","Configuración básica de Braintree"
"Title","Título"
"Environment","Entorno"
"Payment Action","Acción de pago"
"Merchant Account ID","ID de cuenta del comerciante"
"Merchant ID","Identificación del comerciante"
"Public Key","Clave publica"
"Private Key","Clave Privada"
"Advanced Braintree Settings","Configuración avanzada de Braintree"
"Debug","Depurar"
"Capture action","Capture action"
"New Order Status","Nuevo estado del pedido"
"Use Vault","Usa Vault"
"Allow Duplicate Cards","Permitir tarjetas duplicadas"
"CVV Verification","Verificación CVV"
"Credit Card Types","Tipos de tarjeta de crédito"
"Enable Credit Card auto-detection on Storefront","Habilitar detección automática de tarjeta de crédito en tienda"
"Advanced Fraud Protection","Protección avanzada de fraude"
"Your Kount ID","Su ID de Kount"
"Use Cache","Usar Cache"
"Sort Order","Orden de aparición"
"Country Specific Settings","Ajustes específicos del país"
"Payment from Applicable Countries","Pago desde países aceptados"
"Payment from Specific Countries","Pago desde países específicos"
"Country Specific Credit Card Types","Tipos de tarjeta de crédito específicas del país"
"PayPal through Braintree","PayPal a través de Braintree"
"Override Merchant Name","Reemplazar el nombre comercial"
"Display on Shopping Cart","Mostrar en carrito de compras"
"Require Customer's Billing Address","Requiere la dirección de facturación del cliente"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","Permitir que se modifique la dirección de envío introducida durante el pago en PayPal"
"3D Secure Verification Settings","Configuración de verificación 3D segura"
"3D Secure Verification","Verificación 3D segura"
"Edit My Credit Cards","Editar mis tarjetas de crédito"
