"Shopping Cart","Carrito de compras"
"Payment Failed Emails","Fehlgeschlagene Zahlung - eMail"
"Payment Failed Email Sender","Fehlgeschlagene Zahlung - eMail-Absender"
"Payment Failed Email Receiver","Payment Failed Email Receiver"
"Payment Failed Template","Fehlgeschlagene Zahlung - eMail-Vorlage"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Plantilla de correo electrónico elegido basado en suplencia de tema cuando está seleccionada la opción ""Predeterminado""."
"Send Payment Failed Email Copy To","Sende Zahlungsfehler in Kopie an eMail"
"Separate by "","".","Separados por "",""."
"Send Payment Failed Email Copy Method","Sende Zahlungsfehler in Kopie (Methode)"
"Shipping","Envío"
"Order Total","Total del Pedido"
"Shipping Address","Direccion de envio"
"Save Address","Guardar dirección"
"Cancel","Cancelar"
"We'll send your order confirmation here.","We'll send your order confirmation here."
"For delivery questions.","Para preguntas de entrega."
"Payment","Pago"
"Cart Subtotal","Subtotal del carrito de compras"
"Not yet calculated","Aún no se ha calculado"
"We received your order!","¡Hemos recibido su pedido!"
"Thank you for your purchase!","¡Gracias por su compra!"
