"Credit Memos","Facturas rectificadas"
"Shipping Method","Método de envío"
"Update Changes","Actualizar los cambios"
"Shopping Cart","Carrito de compras"
"Are you sure you want to delete all items from shopping cart?","¿Realmente quiere eliminar todos los artículos del carrito de compras?"
"Clear Shopping Cart","Vaciar el Cesta"
"Products in Comparison List","Artículos en la lista de comparación"
"Recently Compared Products","Artículos recientemente comparados"
"Recently Viewed Products","Artículos vistos recientemente"
"Last Ordered Items","Últimos artículos pedidos"
"Recently Viewed","Vistos recientemente"
"Wish List","Favoritos"
"Please select a store","Por favor, seleccione una tienda"
"Order Totals","Total del pedido"
"Shipping Incl. Tax (%1)","Shipping Incl. Tax (%1)"
"Shipping Excl. Tax (%1)","Shipping Excl. Tax (%1)"
"New Credit Memo for Invoice #%1","Factura rectificada para la factura nº %1"
"New Credit Memo for Order #%1","Factura rectificada para el pedido nº %1"
"Refund Shipping (Incl. Tax)","Reembolso del envío (impuestos incl.)"
"Refund Shipping (Excl. Tax)","Reembolso del envío (impuestos no incl.)"
"Refund Shipping","Reembolso del envío"
"Update Qty's","Update Qty's"
"Refund","Reembolso"
"Refund Offline","Reembolso fuera de línea"
"Paid Amount","Cantidad pagada"
"Refund Amount","Importe reembolsado"
"Shipping Amount","Importe del envío"
"Shipping Refund","Reembolso del envío"
"Order Grand Total","Gran Total del pedido"
"Adjustment Refund","Reembolso de una corrección"
"Adjustment Fee","Recargo de una corrección"
"Send Email","Reembolso de una corrección"
"Are you sure you want to send a credit memo email to customer?","Are you sure you want to send a credit memo email to customer?"
"Void","Anulado"
"Print","Imprimir"
"The credit memo email was sent.","El correo electrónico de la factura rectivicada ha sido enviada."
"The credit memo email wasn't sent.","El correo electrónico de la factura rectivicada no ha sido enviada."
"Credit Memo #%1 | %3 | %2 (%4)","Factura rectificada nº %1 | %3 | %2 (%4)"
"Total Refund","Reembolso total"
"New Invoice and Shipment for Order #%1","Factura y envío para el pedido nº %1"
"New Invoice for Order #%1","Factura para el pedido nº %1"
"Submit Invoice and Shipment","Enviar factura y envío"
"Submit Invoice","Enviar factura"
"Are you sure you want to send an invoice email to customer?","Are you sure you want to send an invoice email to customer?"
"Credit Memo","Factura rectificada"
"Capture","Captura"
"The invoice email was sent.","El correo electrónico de la factura fue enviado."
"The invoice email wasn't sent.","El correo electrónico de la factura no fue enviado."
"Invoice #%1 | %2 | %4 (%3)","Factura nº %1 | %2 | %4 (%3)"
"Invalid parent block for this block","Ungültiger Elternblock für diesen Block."
"Order Statuses","Estado y estatus de los pedidos"
"Create New Status","Nuevo estado"
"Assign Status to State","Asignar un estado al estado"
"Save Status Assignment","Guardar la asignación del estado"
"Assign Order Status to State","Asignar un estado al estado de pedido"
"Assignment Information","Información de la asignación"
"Order Status","Estado de pedido"
"Order State","Estado del pedido"
"Use Order Status As Default","Usar estatus de pedido por defecto"
"Visible On Storefront","Visible On Storefront"
"Edit Order Status","Editar estado de pedido"
"Save Status","Guardar estado"
"New Order Status","Nuevo estado de pedido"
"Order Status Information","Información sobre el estatus del pedido"
"Status Code","Estado Código"
"Status Label","Estado Etiqueta"
"Store View Specific Labels","Etiquetas específicas de la vista de tienda"
"Total Paid","Total pagado"
"Total Refunded","Total reembolsado"
"Total Due","Total debido"
"Edit","Editar"
"Are you sure you want to send an order email to customer?","Are you sure you want to send an order email to customer?"
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?"
"Are you sure you want to void the payment?","¿Realmente quiere anular el pago?"
"Hold","Retener"
"hold","Retener"
"Unhold","Reactivar"
"unhold","Reactivar"
"Are you sure you want to accept this payment?","¿Realmente quiere aceptar este pago?"
"Accept Payment","Aceptar el pago"
"Are you sure you want to deny this payment?","¿Realmente quiere rechazar este pago?"
"Deny Payment","Denegar el pago"
"Get Payment Update","Recibir la actualización de pago"
"Invoice and Ship","Factura y albarán"
"Invoice","Factura"
"Ship","Enviar"
"Reorder","Repetir pedido"
"Order # %1 %2 | %3","Pedido nº %1 %2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.","This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed."
"Are you sure? This order will be canceled and a new one will be created instead.","Are you sure? This order will be canceled and a new one will be created instead."
"Save Gift Message","Guardar mensaje de regalo"
" [deleted]"," [deleted]"
"Order Credit Memos","Pedido - Facturas rectificadas"
"Credit memo #%1 created","Factura rectificada nº %1 creada"
"Credit memo #%1 comment added","Comentario agregado a la factura rectificada nº %1"
"Shipment #%1 created","Albarán nº %1 creado"
"Shipment #%1 comment added","Comentario agregado al albarán nº %1"
"Invoice #%1 created","Factura nº %1 creada"
"Invoice #%1 comment added","Comentario agregado a la factura nº %1"
"Tracking number %1 for %2 assigned","Número de seguimento nº %1 para %2 asignados"
"Comments History","Historial de comentarios"
"Order History","Historial de pedidos"
"Information","Información"
"Order Information","Historial de información"
"Order Invoices","Historial de facturas"
"Shipments","Albaranes"
"Order Shipments","Albaranes de pedidos"
"Transactions","Transacciones"
"Order View","Ver el pedido"
"Any","Cualquiera"
"Specified","Especificado"
"Applies to Any of the Specified Order Statuses except canceled orders","Applies to Any of the Specified Order Statuses except canceled orders"
"Cart Price Rule","Regla de precio para el carrito de compras"
"Yes","Sí"
"No","No"
"Show Actual Values","Mostrar valores actuales"
"New Order RSS","RSS para nuevos pedidos"
"Subtotal","Subtotal"
"Shipping & Handling","Cargos por manejos y envío"
"Discount (%1)","Descuento (%1)"
"Discount","Descuento"
"Grand Total","Suma total"
"Back","Volver"
"Fetch","Obtener"
"Transaction # %1 | %2","Transación # %1 | %2"
"N/A","N/D"
"Key","Clave"
"Value","Valor"
"We found an invalid entity model.","Encontramos un modelo de entidad no válida."
"Order # %1","Pedido # %1"
"Back to My Orders","Volver a mis pedidos"
"View Another Order","Ver otro pedido"
"About Your Refund","Acerca de su devolución"
"My Orders","Mis pedidos"
"Subscribe to Order Status","Suscribirse al estado del pedido"
"About Your Invoice","Acerca de su factura"
"Print Order # %1","Imprimir el pedido nº %1"
"Grand Total to be Charged","Importe total a cobrar"
"Unassign","Sin asignar"
"We can't add this item to your shopping cart right now.","No podemos añadir este artículo a su carrito de compras ahora mismo."
"You sent the message.","You sent the message."
"Sales","Ventas"
"This order no longer exists.","Es pedido ya no existe."
"Please enter a comment.","Please enter a comment."
"We cannot add order history.","We cannot add order history."
"You updated the order address.","You updated the order address."
"We can't update the order address right now.","We can't update the order address right now."
"You have not canceled the item.","You have not canceled the item."
"You canceled the order.","Ha cancelado el pedido."
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","El código de cupón ""%1"" no se aplicó. No aplicar descuento es seleccionado para los artículos"
"""%1"" coupon code is not valid.","""%1"" coupon code is not valid."
"The coupon code has been accepted.","El código del cupón se ha aceptado"
"Quote item id is not received.","No se recibió la id de la cita del artículo."
"Quote item is not loaded.","No se cargó la cita del artículo."
"New Order","Nuevo pedido"
"You created the order.","Creó el pedido."
"Order saving error: %1","Error al almacenar la orden: %1"
"Cannot add new comment.","No se puede agregar nuevo comentario."
"The credit memo has been canceled.","La factura rectificada ha sido cancelada."
"Credit memo has not been canceled.","La factura rectificada no ha sido cancelada."
"New Memo for #%1","Nuevo memorándum para nº %1"
"New Memo","Nuevo memorándum"
"The credit memo's total must be positive.","El total de las facturas rectificadas debe ser positivo."
"Cannot create online refund for Refund to Store Credit.","Cannot create online refund for Refund to Store Credit."
"You created the credit memo.","Ha creado la factura rectificada."
"We can't save the credit memo right now.","No podemos guardar la factura rectificada ahora mismo."
"We can't update the item's quantity right now.","We can't update the item's quantity right now."
"View Memo for #%1","Ver memorándum para nº %1"
"View Memo","Ver memorándum"
"You voided the credit memo.","Se anula la factura rectificada."
"We can't void the credit memo.","No podemos anular la factura rectificada."
"The order no longer exists.","Es pedido ya no existe."
"We can't create credit memo for the order.","No podemos crear una factura rectificada para este pedido."
"Edit Order","Editar pedido"
"You sent the order email.","You sent the order email."
"We can't send the email order right now.","We can't send the email order right now."
"You have not put the order on hold.","You have not put the order on hold."
"You put the order on hold.","You put the order on hold."
"You canceled the invoice.","Ha cancelado la factura."
"Invoice canceling error","Error al cancelar la factura"
"The invoice has been captured.","La factura ha sido capturada."
"Invoice capturing error","Error al capturar la factura"
"The order does not allow an invoice to be created.","The order does not allow an invoice to be created."
"You can't create an invoice without products.","You can't create an invoice without products."
"New Invoice","Nueva factura"
"We can't save the invoice right now.","No podemos guardar la factura ahora mismo."
"The invoice and the shipment  have been created. The shipping label cannot be created now.","The invoice and the shipment  have been created. The shipping label cannot be created now."
"You created the invoice and shipment.","Ha creado factura y albarán."
"The invoice has been created.","La factura ha sido creada."
"We can't send the invoice email right now.","No podemos enviar el correo electrónico de la factura ahora mismo."
"We can't send the shipment right now.","No podemos enviar el albarán ahora mismo."
"Cannot update item quantity.","No se puede actualizar la cantidad de artículos."
"The invoice has been voided.","La factura ha sido anulada."
"Invoice voiding error","Error al anular la factura"
"%1 order(s) cannot be canceled.","%1 order(s) cannot be canceled."
"You cannot cancel the order(s).","You cannot cancel the order(s)."
"We canceled %1 order(s).","We canceled %1 order(s)."
"%1 order(s) were not put on hold.","%1 order(s) were not put on hold."
"No order(s) were put on hold.","Ningún pedido fue puesto en suspenso."
"You have put %1 order(s) on hold.","You have put %1 order(s) on hold."
"%1 order(s) were not released from on hold status.","%1 order(s) were not released from on hold status."
"No order(s) were released from on hold status.","No order(s) were released from on hold status."
"%1 order(s) have been released from on hold status.","%1 order(s) have been released from on hold status."
"There are no printable documents related to selected orders.","No hay documentos para imprimir relacionados con los pedidos seleccionados."
"The payment has been accepted.","El pago se ha aceptado."
"The payment has been denied.","El pago ha sido denegado."
"Transaction has been approved.","Transaction has been approved."
"Transaction has been voided/declined.","Transaction has been voided/declined."
"There is no update for the transaction.","There is no update for the transaction."
"We can't update the payment right now.","We can't update the payment right now."
"You assigned the order status.","You assigned the order status."
"Something went wrong while assigning the order status.","Something went wrong while assigning the order status."
"We can't find this order status.","We can't find this order status."
"Create New Order Status","Nuevo estado de pedido"
"We found another order status with the same order status code.","We found another order status with the same order status code."
"You saved the order status.","You saved the order status."
"We can't add the order status right now.","We can't add the order status right now."
"You have unassigned the order status.","You have unassigned the order status."
"Something went wrong while unassigning the order.","Something went wrong while unassigning the order."
"Can't unhold order.","Can't unhold order."
"You released the order from holding status.","You released the order from holding status."
"The order was not on hold.","The order was not on hold."
"Exception occurred during order load","Exception occurred during order load"
"Something went wrong while saving the gift message.","Something went wrong while saving the gift message."
"You saved the gift card message.","You saved the gift card message."
"The payment has been voided.","El pago ha sido anulado."
"We can't void the payment right now.","No podemos anular el pago ahora mismo."
"Please correct the transaction ID and try again.","Please correct the transaction ID and try again."
"The transaction details have been updated.","Se han actualizado los detalles de la transacción."
"We can't update the transaction details.","We can't update the transaction details."
"Orders and Returns","Pedidos y devoluciones"
"You entered incorrect data. Please try again.","You entered incorrect data. Please try again."
"Home","Inicio"
"Go to Home Page","Ir a inicio"
"We can't find this wish list.","No podemos encontrar los favoritos."
"We could not add a product to cart by the ID ""%1"".","We could not add a product to cart by the ID ""%1""."
"There is an error in one of the option rows.","Hay un error en una de las opciones de las filas."
"Shipping Address: ","Direccion de envio: "
"Billing Address: ","Dirección de facturación: "
"Please specify order items.","Please specify order items."
"Please specify a shipping method.","Por favor, especifique un modo de envío."
"Please specify a payment method.","Por favor, especifique un método de pago."
"This payment method is not available.","This payment method is not available."
"Validation is failed.","La validación ha fallado."
"You did not email your customer. Please check your email settings.","You did not email your customer. Please check your email settings."
"Path ""%1"" is not part of allowed directory ""%2""","Path ""%1"" is not part of allowed directory ""%2"""
"Identifying Fields required","Identificación de campos requeridos"
"Id required","Identificación requerida"
"A hold action is not available.","Una acción de retención no está disponible."
"You cannot remove the hold.","No se puede reactivar."
"We cannot cancel this order.","No podemos cancelar este pedido."
"Guest","Visitante"
"Please enter the first name.","Introduzca el nombre."
"Please enter the last name.","Introduzca el apellido."
"Please enter the street.","Por favor, introduzca la calle."
"Please enter the city.","Por favor, introduzca la ciudad."
"Please enter the phone number.","Please enter the phone number."
"Please enter the zip/postal code.","Por favor, introduzca el código postal."
"Please enter the country.","Por favor, ingrese el país."
"Please enter the state/province.","Por favor, introduzca el estado/provincia."
"Requested entity doesn't exist","Requested entity doesn't exist"
"Could not delete order address","Could not delete order address"
"Could not save order address","Could not save order address"
"Pending","Pendiente"
"Refunded","Reembolsado"
"Canceled","Cancelado"
"Unknown State","Estado desconocido"
"We found an invalid quantity to refund item ""%1"".","We found an invalid quantity to refund item ""%1""."
"Maximum shipping amount allowed to refund is: %1","Maximum shipping amount allowed to refund is: %1"
"Could not delete credit memo","Could not delete credit memo"
"Could not save credit memo","Could not save credit memo"
"This order already has associated customer account","This order already has associated customer account"
"Paid","Pagado"
"We cannot register an existing invoice","We cannot register an existing invoice"
"ID required","ID required"
"Unknown Status","Estatus desconocido"
"Ordered","Pedido realizado."
"Shipped","Enviado"
"Invoiced","Facturado"
"Backordered","Pendientes de entrega"
"Returned","Devuelto"
"Partial","Parcial"
"Mixed","Mixto"
"Registered a Void notification.","Recibido una noticia vacía."
"If the invoice was created offline, try creating an offline credit memo.","If the invoice was created offline, try creating an offline credit memo."
"We refunded %1 online.","We refunded %1 online."
"We refunded %1 offline.","We refunded %1 offline."
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo.","IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo."
"The credit memo has been created automatically.","The credit memo has been created automatically."
"Registered notification about refunded amount of %1.","Registered notification about refunded amount of %1."
"Canceled order online","Canceled order online"
"Canceled order offline","Canceled order offline"
"Approved the payment online.","El pago ha sido aprobado a distancia."
"There is no need to approve this payment.","No hay necesidad de aprobar este pago."
"Denied the payment online","Denied the payment online"
"Registered update about approved payment.","Recibido una actualización acerca de un pago aprobado."
"Registered update about denied payment.","Recibido una actualización acerca de un pago denegado."
"There is no update for the payment.","No hay actualizaciones para este pago."
"Voided authorization.","Autorización anulada."
"Amount: %1.","Amount: %1."
"Transaction ID: ""%1""","Identificador de la transacción: ""%1"""
"The payment method you requested is not available.","The payment method you requested is not available."
"The payment disallows storing objects.","The payment disallows storing objects."
"The transaction ""%1"" cannot be captured yet.","The transaction ""%1"" cannot be captured yet."
"We will authorize %1 after the payment is approved at the payment gateway.","We will authorize %1 after the payment is approved at the payment gateway."
"Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Order is suspended as its authorizing amount %1 is suspected to be fraudulent."
"Authorized amount of %1","Authorized amount of %1"
"An amount of %1 will be captured after being approved at the payment gateway.","An amount of %1 will be captured after being approved at the payment gateway."
"Captured amount of %1 online","Captured amount of %1 online"
"The order amount of %1 is pending approval on the payment gateway.","The order amount of %1 is pending approval on the payment gateway."
"Ordered amount of %1","Ordered amount of %1"
"Registered notification about captured amount of %1.","Registered notification about captured amount of %1."
"Order is suspended as its capture amount %1 is suspected to be fraudulent.","Order is suspended as its capture amount %1 is suspected to be fraudulent."
"The parent transaction ID must have a transaction ID.","The parent transaction ID must have a transaction ID."
"Payment transactions disallow storing objects.","Las operaciones de pago no permiten almacenar objetos."
"The transaction ""%1"" (%2) is already closed.","The transaction ""%1"" (%2) is already closed."
"Set order for existing transactions not allowed","No se le permite configurar un pedido de una transacción existente."
"At minimum, you need to set a payment ID.","At minimum, you need to set a payment ID."
"Order","Pedido"
"Authorization","Autorización"
"We found an unsupported transaction type ""%1"".","We found an unsupported transaction type ""%1""."
"Please set a proper payment and order id.","Please set a proper payment and order id."
"Please enter a Transaction ID.","Please enter a Transaction ID."
"You can't do this without a transaction object.","You can't do this without a transaction object."
"Order # ","Pedido # "
"Order Date: ","Fecha de pedido: "
"Sold to:","Vendido a:"
"Ship to:","Enviar a:"
"Payment Method:","Método de pago:"
"Shipping Method:","Método de envío:"
"Total Shipping Charges","Gastos de envío"
"Title","Título"
"Number","Número"
"We found an invalid renderer model.","We found an invalid renderer model."
"Please define the PDF object before using.","Please define the PDF object before using."
"We don't recognize the draw line data. Please define the \"lines\" array.","We don't recognize the draw line data. Please define the \"lines\" array."
"Products","Productos"
"Total (ex)","Total (excl.)"
"Qty","Cantidad"
"Tax","Impuestos"
"Total (inc)","Total (incl.)"
"Credit Memo # ","Factura rectificada nº "
"Invoice # ","Factura # "
"The order object is not specified.","The order object is not specified."
"The source object is not specified.","The source object is not specified."
"An item object is not specified.","An item object is not specified."
"A PDF object is not specified.","A PDF object is not specified."
"A PDF page object is not specified.","A PDF page object is not specified."
"Excl. Tax","Impuestos NO Incl."
"Incl. Tax","Impuestos incl."
"Packing Slip # ","Packing Slip # "
"title","Título"
"The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal.","The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal."
"We cannot register an existing shipment","We cannot register an existing shipment"
"We found an invalid quantity to ship for item ""%1"".","We found an invalid quantity to ship for item ""%1""."
"Please enter a tracking number.","Por favor, introduzca un número de seguimiento."
"Could not delete shipment","Could not delete shipment"
"Could not save shipment","Could not save shipment"
"The last status can't be unassigned from its current state.","The last status can't be unassigned from its current state."
"Status can't be unassigned, because it is used by existing order(s).","Status can't be unassigned, because it is used by existing order(s)."
"The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.","The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal."
"We cannot determine the field name.","We cannot determine the field name."
"City","Cuidad"
"Company","Empresa"
"Country","País"
"Email","Correo electrónico"
"First Name","Nombre"
"Last Name","Apellidos"
"State/Province","Estado/Provincia"
"Street Address","Domicilio"
"Phone Number","Numero de teléfono"
"Zip/Postal Code","Código Postal"
"We can't save the address:\n%1","We can't save the address:\n%1"
"Cannot save comment:
%1","Cannot save comment:
%1"
"We don't have enough information to save the parent transaction ID.","We don't have enough information to save the parent transaction ID."
"We cannot create an empty shipment.","We cannot create an empty shipment."
"Cannot save track:
%1","Cannot save track:
%1"
"Cannot unassign status from state","Cannot unassign status from state"
"New Orders","Nuevos pedidos"
"Order #%1 created at %2","Pedido nº %1 creado el %2"
"Details for %1 #%2","Details for %1 #%2"
"Notified Date: %1","Notified Date: %1"
"Comment: %1<br/>","Comentario: %1 <br/>"
"Current Status: %1<br/>","Current Status: %1<br/>"
"Total: %1<br/>","Total: %1 <br/>"
"Order # %1 Notification(s)","Pedido nº %1 notificaciones"
"You can not cancel Credit Memo","No puede cancelar factura rectificada"
"Could not cancel creditmemo","Could not cancel creditmemo"
"We cannot register an existing credit memo.","We cannot register an existing credit memo."
"The most money available to refund is %1.","The most money available to refund is %1."
"We found an invalid quantity to invoice item ""%1"".","We found an invalid quantity to invoice item ""%1""."
"The Order State ""%1"" must not be set manually.","The Order State ""%1"" must not be set manually."
"VAT Request Identifier","Identificador de petición de IVA"
"VAT Request Date","Fecha de petición de IVA"
"Pending Payment","Pago pendiente"
"Processing","Procesando"
"On Hold","En espera"
"Complete","Completado"
"Closed","Cerrado"
"Suspected Fraud","Sospechas de acto fraudulento"
"Payment Review","Revisión de pago"
"New","Nuevo"
"test message","test message"
"Email has not been sent","Email has not been sent"
" Transaction ID: ""%1"""," Transaction ID: ""%1"""
"View","Ver"
"Group was removed","Group was removed"
"Changing address information will not recalculate shipping, tax or other order amount.","El cambio de la información de la dirección no efectua calcular de nuevo los gastos del envío, de impuestos ni el total del pedido."
"Comment Text","Texto del comentario"
"Notify Customer by Email","Notificar al cliente por correo electrónico"
"Visible on Storefront","Visible on Storefront"
"Customer","Cliente"
"Notified","Notificado"
"Not Notified","No notificado"
"No Payment Methods","No hay métodos de pago"
"Order Comments","Comentarios del pedido"
"Apply Coupon Code","Aplicar cupón"
"Apply","Aplicar"
"Remove Coupon Code","Eliminar cupón"
"Remove","Eliminar"
"Address Information","Información de dirección"
"Payment &amp; Shipping Information","Payment &amp; Shipping Information"
"Order Total","Total del pedido"
"Order Currency:","Moneda de pedido:"
"Same As Billing Address","La misma dirección que la de facturación"
"Select from existing customer addresses:","Seleccione entre las direcciones de cliente existentes"
"Add New Address","Nueva dirección"
"Save in address book","Save in address book"
"You don't need to select a shipping address.","You don't need to select a shipping address."
"Gift Message for the Entire Order","Mensaje de regalo por todo el pedido"
"Leave this box blank if you don't want to leave a gift message for the entire order.","Leave this box blank if you don't want to leave a gift message for the entire order."
"Row Subtotal","Subtotal de la fila"
"Action","Acción"
"No ordered items","No hay artículos pedidos"
"Update Items and Quantities","Actualizar artículos y cantidades"
"Total %1 product(s)","%1 artículo(s) en total"
"Subtotal:","Subtotal:"
"Tier Pricing","Nivel de precios"
"Custom Price","Precio personalizado"
"Please select","Por favor, seleccione"
"Move to Shopping Cart","Al carrito de la compra"
"Move to Wish List","Mover a favoritos"
"Subscribe to Newsletter","Suscribir al boletín informativo"
"Click to change shipping method","Haz click aquí para cambiar el método de envío"
"Sorry, no quotes are available for this order.","Sorry, no quotes are available for this order."
"Get shipping methods and rates","Obtener métodos de envío y tarifas"
"You don't need to select a shipping method.","You don't need to select a shipping method."
"Customer's Activities","Customer's Activities"
"Refresh","Actualizar"
"Item","Articulo"
"Add To Order","Añadir a pedido"
"Configure and Add to Order","Configurar y añadir al pedido"
"No items","No hay artículos"
"Append Comments","Anexar comentarios"
"Email Order Confirmation","Enviar una confirmación del pedido por correo electrónico"
"Grand Total Excl. Tax","Total sin incluir impuestos"
"Grand Total Incl. Tax","Total incluyendo impuestos"
"Subtotal (Excl. Tax)","Subtotal (IVA no incluido)"
"Subtotal (Incl. Tax)","Subtotal (IVA incluido)"
"Payment &amp; Shipping Method","Pago y método de envío"
"Payment Information","Información de pago"
"The order was placed using %1.","The order was placed using %1."
"Shipping Information","Información de envío"
"Items to Refund","Artículos para reembolso"
"Return to Stock","Artículos para devolver a existencias"
"Qty to Refund","Cantidad a reembolsar"
"Tax Amount","Cantidad de impuestos"
"Discount Amount","Monto de descuento"
"Row Total","Fila total"
"No Items To Refund","No hay artículos para reembolso"
"Credit Memo Comments","Comentarios de facturas rectificadas"
"Refund Totals","Estadísticas totales de reembolso"
"Email Copy of Credit Memo","Enviar una copia de la factura rectificativa por correo electrónico"
"Please enter a positive number in this field.","Please enter a positive number in this field."
"Items Refunded","Artículos devueltos"
"No Items","No hay artículos"
"Memo Total","Memo Total"
"Credit Memo History","Historial de facturas rectificadas"
"Credit Memo Totals","Totales de factura rectificada"
"Customer Name: %1","Customer Name: %1"
"Purchased From: %1","Purchased From: %1"
"Gift Message","Mensaje de regalo"
"From:","Desde:"
"To:","Hasta:"
"Message:","Mensaje:"
"Shipping &amp; Handling","Gastos de envío"
"Gift Options","Opciones de regalo"
"Create Shipment","Crear albarán"
"Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.","Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice."
"%1","%1"
"Qty to Invoice","Cantidad a facturar"
"Invoice History","Historial de la factura"
"Invoice Comments","Comentarios de la factura"
"Invoice Totals","Totales de factura"
"Amount","Monto"
"Capture Online","Captura en línea"
"Capture Offline","Captura fuera de línea"
"Not Capture","No captura"
"The invoice will be created offline without the payment gateway.","The invoice will be created offline without the payment gateway."
"Email Copy of Invoice","Enviar una copia de la factura por correo electrónico"
"Items Invoiced","Artículos facturados"
"Total Tax","Total impuestos"
"From Name","Por nombre"
"To Name","Nombre"
"Status","Estato"
"Comment","Comentario"
"Notification Not Applicable","Notificación no disponible"
"Order & Account Information","Order & Account Information"
"The order confirmation email was sent","The order confirmation email was sent"
"The order confirmation email is not sent","The order confirmation email is not sent"
"Order Date","Fecha del pedido"
"Order Date (%1)","Order Date (%1)"
"Purchased From","Comprado de"
"Link to the New Order","Enlace al nuevo pedido"
"Link to the Previous Order","Enlace al pedido anterior"
"Placed from IP","Realizado desde IP"
"%1 / %2 rate:","%1 / %2 rate:"
"Customer Name","Cliente nombre"
"Customer Group","Grupo del cliente"
"Item Status","Estado del artículo"
"Original Price","Precio original"
"Tax Percent","Porcentaje de impuestos"
"Notes for this Order","Notes for this Order"
"Comment added","Comment added"
"Transaction Data","Datos de la transacción"
"Transaction ID","Número identificativo de la transacción"
"Parent Transaction ID","ID de transacción principal"
"Order ID","Identificador de pedido"
"Transaction Type","Tipo de transacción"
"Is Closed","Está cerrado"
"Created At","Creado en"
"Child Transactions","Transacciones hijas"
"Transaction Details","Detalles de la transacción"
"Items","Artículos"
"Gift Message for this Order","Mensaje de regalo para este pedido"
"Shipped By","Enviado por"
"Tracking Number","Número de seguimiento"
"Billing Last Name","Apellido para facturación"
"Find Order By","Find Order By"
"ZIP Code","Código postal"
"Billing ZIP Code","Código postal de facturación"
"Continue","Continuar"
"Print All Refunds","Imprimir todos los reembolsos"
"Refund #","Reembolso nº "
"Print Refund","Imprimir reembolso"
"Product Name","Nombre del artículo"
"Order #","Pedido #"
"Date","Fecha"
"Ship To","Enviar a"
"Actions","Acciones"
"View Order","Ver pedido"
"You have placed no orders.","No ha hecho ningún pedido."
"No shipping information available","No hay información disponible sobre el envío"
"Print Order","Imprimir pedido"
"Print All Invoices","Imprimir todas las facturas"
"Invoice #","Factura nº "
"Print Invoice","Imprimir factura"
"Qty Invoiced","Cantidad facturada"
"Close","Cerrar"
"About Your Order","Acerca de su pedido"
"<span class=""label"">Order Date:</span> %1","<span class=""label"">Order Date:</span> %1"
"Refund #%1","Reembolso nº %1"
"Shipment #%1","Albarán nº %1"
