"Static Blocks","Bloques Estáticos"
"Enabled by Default","Aktiviert (voreingestellt)"
"Disabled by Default","Deaktiviert (voreingestellt)"
"Disabled Completely","Komplett deaktiviert"
"CMS Page with id ""%1"" does not exist.","CMS Page with id ""%1"" does not exist."
"A block identifier with the same properties already exists in the selected store.","Ein Block-Bezeichner mit denselben Eigenschaften existiert bereits in dem ausgewählten Laden."
"The page URL key contains capital letters or disallowed symbols.","Der URL-Bezeichner dieser Seite enthält Großbuchstaben oder unerlaubte Symbole."
"The page URL key cannot be made of only numbers.","The page URL key cannot be made of only numbers."
"Please rename the folder using only letters, numbers, underscores and dashes.","Please rename the folder using only letters, numbers, underscores and dashes."
"We found a directory with the same name. Please try another folder name.","We found a directory with the same name. Please try another folder name."
"We cannot create a new directory.","We cannot create a new directory."
"We cannot delete directory %1.","We cannot delete directory %1."
"We can't upload the file right now.","We can't upload the file right now."
"We can't delete root directory %1 right now.","We can't delete root directory %1 right now."
"Directory %1 is not under storage root path.","Directory %1 is not under storage root path."
"LocalizedException","LocalizedException"
"RuntimeException","RuntimeException"
"Exception","Exception"
"Could not create directory.","Could not create directory."
"All Store Views","Todas las vistas de la tienda"
"Edit","Editar"
"Delete","Borrar"
"Delete ${ $.$data.title }","Delete ${ $.$data.title }"
"Are you sure you wan't to delete a ${ $.$data.title } record?","Are you sure you wan't to delete a ${ $.$data.title } record?"
"Details","Detalles"
"Delete ""${ $.$data.title }""","Delete ""${ $.$data.title }"""
"Are you sure you wan't to delete a \"${ $.$data.title }\" record?","Are you sure you wan't to delete a \"${ $.$data.title }\" record?"
"px.","px."
"No files found","Keine Dateien gefunden"
"Browse Files...","Dateien durchsuchen ..."
"Collapse All","Desplegar todo"
"Expand All","Abrir todos"
"We could not detect a size.","No hemos podido detectar un tamaño."
"CMS Home Page","Página de inicio de CMS"
"CMS No Route Page","CMS keine Route-Seite (Fehler 404)"
"CMS No Cookies Page","Seite bei deaktivierten Cookies"
"Show Breadcrumbs for CMS Pages","Brotkrumen-Navigation für CMS-Seiten"
"Browser Capabilities Detection","Detectar las capacidades del navegador"
"Redirect to CMS-page if Cookies are Disabled","Zur CMS-Seite weiterleiten, wenn Cookies deaktiviert sind."
"Show Notice if JavaScript is Disabled","Hinweis zeigen, wenn JavaScript deaktiviert ist"
"Show Notice if Local Storage is Disabled","Show Notice if Local Storage is Disabled"
"Content Management","Content Management"
"WYSIWYG Options","WYSIWYG Optionen"
"Enable WYSIWYG Editor","WYSIWYG-Editor aktivieren"
"CMS Page Link","CMS-Seitenlink"
"Link to a CMS Page","Link zu einer CMS-Seite"
"CMS Page","Página CMS"
"Select Page...","Seite wählen..."
"Anchor Custom Text","Ancla Texto personalizado"
"If empty, the Page Title will be used","Falls leer, wird der Seitentitel verwendet"
"Anchor Custom Title","Anclar título personalizado"
"Template","Plantilla"
"CMS Page Link Block Template","CMS-Seitenlink - Blockvorlage"
"CMS Page Link Inline Template","CMS-Seitenlink - Inlinevorlage"
"CMS Static Block","Statischer Block"
"Contents of a Static Block","Inhalte eines statischen Blocks"
"Block","Block"
"Select Block...","Block wählen..."
"CMS Static Block Default Template","Statischer Block - Standardvorlage"
"Delete items","Delete items"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
"Disable","Desactivar"
"Enable","Activado"
"Custom design from","Custom design from"
"Custom design to","Custom design to"
