"Delete Selected Problems","Eliminar problemas seleccionados"
"You have been successfully subscribed to our newsletter.","You have been successfully subscribed to our newsletter."
"You have been unsubscribed from the newsletter.","You have been unsubscribed from the newsletter."
"Subscription Options","Opciones de suscripción"
"Allow Guest Subscription","Permitir visitantes a subscribirse"
"Need to Confirm","Debe confirmar"
"Confirmation Email Sender","Remitente del correo electrónico de confirmación"
"Confirmation Email Template","Plantilla del correo electrónico de confirmación"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Plantilla de correo electrónico elegido basado en suplencia de tema cuando está seleccionada la opción ""Predeterminado""."
"Success Email Sender","Remitente de correo electrónico para operación exitosa"
"Success Email Template","Plantilla de correo electrónico para operación exitosa"
"Unsubscription Email Sender","Remitente de correo electrónico para cancelar la suscripción"
"Unsubscription Email Template","Plantilla de correo electrónico para cancelar la suscripción"
"We found no problems.","We found no problems."
"Subscriber","Suscriptor"
"Queue Start Date","Queue Start Date"
"Queue Subject","Asunto de la cola de tareas"
"Error Code","Código de error"
"Error Text","Texto de error"
"Queue Start","Inicio de la cola de tareas"
"Queue End","Queue End"
"Status","Estatus"
"Processed","Procesado"
"Recipients","Recipientes"
"Unsubscribe","Desuscribirse"
"Delete","Borrar"
"CSV","CSV"
"Excel XML","Excel XML"
"Email","Correo electrónico"
"Type","Type"
"Guest","Visitante"
"Customer","Cliente"
"Customer First Name","Nombre del cliente"
"Customer Last Name","Apellido del cliente"
"Not Activated","No activado"
"Subscribed","Suscrito"
"Unsubscribed","Desuscrito"
"Unconfirmed","Sin confirmar"
"Web Site","Sitio web"
"Store","Tienda"
"Store View","Vista de la tienda"
"Newsletter Subscriptions","Suscripciones al boletín informativo"
