"Sign Out","Salir"
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Based on the VAT ID, the customer belongs to the Customer Group %s."
"Something went wrong while validating the VAT ID.","Something went wrong while validating the VAT ID."
"The customer would belong to Customer Group %s.","The customer would belong to Customer Group %s."
"There was an error detecting Customer Group.","There was an error detecting Customer Group."
"Validate VAT Number","Validar número de IVA"
"Customer Login","Inicio de sesión de cliente"
"Create New Customer Account","Crear nueva cuenta de cliente"
"Date of Birth","Fecha de nacimiento"
"Bad request.","Solicitud incorrecta."
"This confirmation key is invalid or has expired.","This confirmation key is invalid or has expired."
"There was an error confirming the account","There was an error confirming the account"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation."
"Thank you for registering with %1.","Gracias por registrarse en %1."
"Please check your email for confirmation key.","Please check your email for confirmation key."
"This email does not require confirmation.","Este mensaje de correo electrónico no requiere confirmación."
"Wrong email.","Se especificó una dirección de correo electrónico incorrecta."
"Your password reset link has expired.","Su enlace de restablecimiento de contraseña ha caducado."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account."
"We can't save the customer.","No se puede guardar al cliente."
"Please make sure your passwords match.","Por favor, asegúrese de que sus contraseñas coinciden."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation."
"Account Information","Información de la cuenta"
"Invalid input","Invalid input"
"You saved the account information.","You saved the account information."
"Please enter new password.","Por favor, introduzca una nueva contraseña."
"Confirm your new password.","Confirme su nueva contraseña."
"Something went wrong while changing the password.","Something went wrong while changing the password."
"Please correct the email address.","Please correct the email address."
"We're unable to send the password reset email.","We're unable to send the password reset email."
"Please enter your email.","Por favor, introduzca su dirección de correo electrónico."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","If there is an account associated with %1 you will receive an email with a link to reset your password."
"My Account","Mi Cuenta"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email."
"Invalid login or password.","Inicio de Sesión o Contraseña Inválida."
"A login and a password are required.","A login and a password are required."
"New Password and Confirm New Password values didn't match.","New Password and Confirm New Password values didn't match."
"Please enter a new password.","Por favor, introduzca una nueva contraseña."
"You updated your password.","Actualizó su contraseña."
"Something went wrong while saving the new password.","Something went wrong while saving the new password."
"You deleted the address.","You deleted the address."
"We can't delete the address right now.","We can't delete the address right now."
"You saved the address.","You saved the address."
"We can't save the address.","We can't save the address."
"No customer ID defined.","No customer ID defined."
"Please correct the quote items and try again.","Please correct the quote items and try again."
"You have revoked the customer's tokens.","You have revoked the customer's tokens."
"We can't find a customer to revoke.","We can't find a customer to revoke."
"You deleted the customer group.","You deleted the customer group."
"The customer group no longer exists.","The customer group no longer exists."
"Customers","Clientes"
"New Group","Nuevo grupo"
"New Customer Groups","Nuevos grupos de clientes"
"Edit Group","Editar grupo"
"Edit Customer Groups","Editar grupos del cliente"
"You saved the customer group.","You saved the customer group."
"Please select customer(s).","Bitte wählen Sie entsprechende Kunden aus."
"Customer could not be deleted.","Customer could not be deleted."
"You deleted the customer.","You deleted the customer."
"Something went wrong while editing the customer.","Something went wrong while editing the customer."
"Manage Customers","Gestionar clientes"
"Please correct the data sent.","Por favor corrija los datos enviados."
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"A total of %1 record(s) were deleted.","A total of %1 record(s) were deleted."
"The customer will receive an email with a link to reset password.","The customer will receive an email with a link to reset password."
"Something went wrong while resetting customer password.","Something went wrong while resetting customer password."
"You saved the customer.","Ha guardado el cliente."
"Something went wrong while saving the customer.","Something went wrong while saving the customer."
"Page not found.","Página no encontrada."
"Online Customers","Clientes en línea"
"Customers Now Online","Los clientes ahora en línea"
"Please define Wish List item ID.","Please define Wish List item ID."
"Please load Wish List item.","Please load Wish List item."
"Login successful.","Login successful."
"""%1"" section source is not supported","""%1"" section source is not supported"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface"
"No confirmation needed.","No confirmation needed."
"Account already active","Account already active"
"Invalid confirmation token","Invalid confirmation token"
"This account is not confirmed.","Esta cuenta no está confirmada."
"This customer already exists in this store.","This customer already exists in this store."
"A customer with the same email already exists in an associated website.","A customer with the same email already exists in an associated website."
"The password doesn't match this account.","The password doesn't match this account."
"Please enter a password with at least %1 characters.","Please enter a password with at least %1 characters."
"The password can't begin or end with a space.","The password can't begin or end with a space."
"Reset password token mismatch.","Reset password token mismatch."
"Reset password token expired.","Reset password token expired."
"Please correct the transactional account email type.","Please correct the transactional account email type."
"Please enter the first name.","Introduzca el nombre."
"Please enter the last name.","Introduzca el apellido."
"Please enter the street.","Por favor, introduzca la calle."
"Please enter the city.","Por favor, introduzca la ciudad."
"Please enter the phone number.","Please enter the phone number."
"Please enter the zip/postal code.","Por favor, introduzca el código postal."
"Please enter the country.","Por favor, ingrese el país."
"Please enter the state/province.","Por favor, introduzca el estado/provincia."
"""%1"" is a required value.","""%1"" is a required value."
"Global","Global"
"Per Website","Por sitio web"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","We can't share customer accounts globally when the accounts share identical email addresses on more than one website."
"Billing Address","Dirección de facturación"
"Shipping Address","Dirección de envío"
"-- Please Select --","--Seleccione--"
"Please enter a first name.","Por favor, introduzca un nombre."
"Please enter a last name.","Por favor, ingrese un apellido."
"Please correct this email address: ""%1"".","Please correct this email address: ""%1""."
"Please enter a date of birth.","Please enter a date of birth."
"Please enter a TAX/VAT number.","Please enter a TAX/VAT number."
"Please enter a gender.","Please enter a gender."
"Please enter a valid password reset token.","Please enter a valid password reset token."
"The password can not begin or end with a space.","The password can not begin or end with a space."
"Admin","Administrar"
"Attribute object is undefined","Objeto de campo indefinido"
"""%1"" invalid type entered.","""%1"" invalid type entered."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contains non-alphabetic or non-numeric characters."
"""%1"" is an empty string.","""%1"" is an empty string."
"""%1"" contains non-numeric characters.","""%1"" contains non-numeric characters."
"""%1"" contains non-alphabetic characters.","""%1"" contains non-alphabetic characters."
"""%1"" is not a valid email address.","""%1"" is not a valid email address."
"""%1"" is not a valid hostname.","""%1"" is not a valid hostname."
"""%1"" uses too many characters.","""%1"" uses too many characters."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' looks like an IP address, which is not an acceptable format."
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' looks like a DNS hostname but we cannot match the TLD against known list."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' looks like a DNS hostname but contains a dash in an invalid position."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' looks like a DNS hostname but cannot extract TLD part."
"'%value%' does not look like a valid local network name.","'%value%' does not look like a valid local network name."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' looks like a local network name, which is not an acceptable format."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded."
"""%1"" is not a valid URL.","""%1"" is not a valid URL."
"""%1"" is not a valid date.","""%1"" is not a valid date."
"""%1"" does not fit the entered date format.","""%1"" does not fit the entered date format."
"Please enter a valid date between %1 and %2 at %3.","Please enter a valid date between %1 and %2 at %3."
"Please enter a valid date equal to or greater than %1 at %2.","Please enter a valid date equal to or greater than %1 at %2."
"Please enter a valid date less than or equal to %1 at %2.","Please enter a valid date less than or equal to %1 at %2."
"""%1"" is not a valid file extension.","""%1"" is not a valid file extension."
"""%1"" is not a valid file.","""%1"" is not a valid file."
"""%1"" exceeds the allowed file size.","""%1"" exceeds the allowed file size."
"""%1"" is not a valid image format.","""%1"" is not a valid image format."
"""%1"" width exceeds allowed value of %2 px.","""%1"" width exceeds allowed value of %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" height exceeds allowed value of %2 px."
"""%1"" length must be equal or greater than %2 characters.","""%1"" length must be equal or greater than %2 characters."
"""%1"" length must be equal or less than %2 characters.","""%1"" length must be equal or less than %2 characters."
"label","etiqueta"
"Please enter a customer email.","Please enter a customer email."
"A customer website ID must be specified when using the website scope.","A customer website ID must be specified when using the website scope."
"Customer Group","Grupo del cliente"
"You can't delete group \"%1\".","You can't delete group \"%1\"."
"Customer Group already exists.","Customer Group already exists."
"Cannot delete group.","Cannot delete group."
"Error during VAT Number verification.","Error during VAT Number verification."
"PHP SOAP extension is required.","Se requiere la extensión PHP SOAP"
"VAT Number is valid.","VAT Number is valid."
"Please enter a valid VAT number.","Please enter a valid VAT number."
"Your VAT ID was successfully validated.","Su ID de IVA se ha validado correctamente."
"You will be charged tax.","Se le cargarán los impuestos."
"You will not be charged tax.","No se le cargarán los impuestos."
"The VAT ID entered (%1) is not a valid VAT ID.","The VAT ID entered (%1) is not a valid VAT ID."
"Your Tax ID cannot be validated.","Su ID de impuestos no se ha podido validar."
"If you believe this is an error, please contact us at %1","Si usted cree que esto es un error, por favor contáctenos en %1"
"Male","Male"
"Female","Female"
"Not Specified","Not Specified"
"Thank you for registering with","Thank you for registering with"
"enter your billing address for proper VAT calculation","enter your billing address for proper VAT calculation"
"enter your shipping address for proper VAT calculation","enter your shipping address for proper VAT calculation"
"message","message"
"NoSuchEntityException","NoSuchEntityException"
"Exception","Exception"
"InputException","InputException"
"Exception message","Exception message"
"Validator Exception","Validator Exception"
"Localized Exception","Localized Exception"
"Label","Etiqueta"
"Select...","Select..."
"Edit","Editar"
"Visitor","Visitante"
"Customer","Cliente"
"No item specified.","No se especificó artículo."
"Are you sure you want to remove this item?","¿Está seguro que desea eliminar este artículo?"
"Personal Information","Información Personal"
"Last Logged In:","Letzte Anmeldung:"
"Last Logged In (%1):","Last Logged In (%1):"
"Confirmed email:","Bestätigte eMail-Adresse:"
"Account Created:","Account Created:"
"Account Created on (%1):","Account Created on (%1):"
"Account Created in:","Kundenkonto angelegt in:"
"Customer Group:","Kundengruppe:"
"Default Billing Address","Dirección de facturación por defecto"
"Sales Statistics","Estadísticas de Ventas"
"Web Site","Sitio web"
"Store","Tienda"
"Store View","Vista de la tienda"
"Lifetime Sales","Ventas de por Vida"
"Average Sale","Venta promedio"
"All Store Views","Todas las vistas de la tienda"
"Change","Cambio"
"Manage Addresses","Gestionar direcciones"
"Default Shipping Address","Dirección de envío predeterminada"
"Contact Information","Información del contacto"
"Change Password","Cambiar la contraseña"
"Newsletters","Boletines informativos"
"You subscribe to ""General Subscription"".","You subscribe to ""General Subscription""."
"or","o"
"Default Addresses","Direcciones (predeterminado)"
"Change Billing Address","Cambiar la dirección de facturación"
"You have no default billing address in your address book.","No tiene ninguna dirección de facturación por defecto en su libreta de direcciones."
"Change Shipping Address","Cambiar la dirección de envío"
"You have no default shipping address in your address book.","No tiene ninguna dirección de envío por defecto en su libreta de direcciones."
"Additional Address Entries","Entradas adicionales de direcciones postales"
"Delete Address","Borrar dirección"
"You have no other address entries in your address book.","You have no other address entries in your address book."
"* Required Fields","* Campos obligatorios"
"Company","Empresa"
"Phone Number","Telefonnummer"
"Fax","Fax"
"Address","Dirección"
"Street Address","Dirección postal (Calle, Nº de Casa, Código Postal)"
"Street Address %1","Street Address %1"
"VAT Number","Número de IVA"
"City","Ciudad"
"State/Province","Estado/Provincia"
"Please select a region, state or province.","Please select a region, state or province."
"Zip/Postal Code","Código Postal"
"Country","País"
"Use as my default billing address","Utilice como mi dirección de facturación por defecto"
"Use as my default shipping address","Utilice como mi dirección de envío predeterminada"
"Save Address","Guardar dirección"
"Go back","Go back"
"Please enter your email below and we will send you the confirmation link.","Please enter your email below and we will send you the confirmation link."
"Email","Correo electrónico"
"Send confirmation link","Enviar enlace de confirmación"
"Back to Sign In","Volver a iniciar sesión"
"Current Password","Contraseña actual"
"New Password","Nueva Contraseña"
"Confirm New Password","Confirmar contraseña nueva"
"Save","Guardar"
"Please enter your email address below to receive a password reset link.","Por favor introduzca su dirección de correo electrónico para recibir un enlace de restablecimiento de contraseña."
"Submit","Enviar"
"Registered Customers","Clientes registrados"
"If you have an account, sign in with your email address.","Si tiene una cuenta, inicie sesión con su dirección de correo electrónico."
"Password","Contraseña"
"Login","Entrar"
"Forgot Your Password?","¿Olvidó su contraseña?"
"Subscription option","Subscription option"
"General Subscription","Suscripción general"
"Sign Up for Newsletter","Suscribirse al boletín"
"Address Information","Información de dirección"
"Sign-in Information","Información de inicio de sesión"
"Confirm Password","Confirmar contraseña"
"Create an Account","Crear una cuenta"
"Set a New Password","Set a New Password"
"You have signed out and will go to our homepage in 5 seconds.","You have signed out and will go to our homepage in 5 seconds."
"New Customers","Nuevos clientes"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Crear una cuenta tiene muchos beneficios: Pago más rápido, guardar más de una dirección, seguimiento de pedidos y mucho más."
"Gender","Sexo"
"Name","Nombre 	"
"Tax/VAT number","Número de IVA/impuestos"
"%name,","%name,"
"Welcome to %store_name.","Bienvenido a %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:"
"Email:","Email:"
"Password:","Contraseña:"
"Password you set when creating account","Password you set when creating account"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","¿Olvidó la contraseña de su cuenta? Haga clic <a href=""%reset_url""> aquí</a> para restablecerla."
"When you sign in to your account, you will be able to:","When you sign in to your account, you will be able to:"
"Proceed through checkout faster","Proceed through checkout faster"
"Check the status of orders","Check the status of orders"
"View past orders","View past orders"
"Store alternative addresses (for shipping to multiple family members and friends)","Store alternative addresses (for shipping to multiple family members and friends)"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","You must confirm your %customer_email email before you can sign in (link is only valid once):"
"Confirm Your Account","Confirm Your Account"
"Thank you for confirming your %store_name account.","Thank you for confirming your %store_name account."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:"
"There was recently a request to change the password for your account.","There was recently a request to change the password for your account."
"If you requested this change, set a new password here:","If you requested this change, set a new password here:"
"If you did not make this request, you can ignore this email and your password will remain the same.","If you did not make this request, you can ignore this email and your password will remain the same."
"The password for your account has been successfully changed.","The password for your account has been successfully changed."
"If you did not request this change, please contact us.","If you did not request this change, please contact us."
"Are you sure you want to do this?","¿Está seguro que desea hacer esto?"
"Are you sure you want to delete this address?","¿Realmente quiere borrar esta dirección?"
"Customer Configuration","Configuración del cliente"
"Account Sharing Options","Cuenta Opciones para compartir"
"Share Customer Accounts","Compartir cuentas de cliente"
"Create New Account Options","Crear nuevas opciones para una cuenta"
"Enable Automatic Assignment to Customer Group","Habilitar la asignación automática al grupo de clientes"
"Tax Calculation Based On","Cálculo tributario basado en"
"Default Group","Grupo (predeterminado)"
"Group for Valid VAT ID - Domestic","Grupo para ID del IVA válido - Doméstico"
"Group for Valid VAT ID - Intra-Union","Grupo para ID del IVA válido - Intraunión"
"Group for Invalid VAT ID","Grupo para ID del IVA no válido"
"Validation Error Group","Error de validación al grupo"
"Validate on Each Transaction","Validar en cada transacción"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Valor para Disable Automatic Group Changes Based on VAT ID (predeterminado)"
"Show VAT Number on Storefront","Show VAT Number on Storefront"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes."
"Default Email Domain","Dominio de correo electrónico (predeterminado)"
"Default Welcome Email","Correo de bienvenida (predeterminado)"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Plantilla de correo electrónico elegido basado en suplencia de tema cuando está seleccionada la opción ""Predeterminado""."
"Default Welcome Email Without Password","Default Welcome Email Without Password"
"
                        This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.
                    ","
                        This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.
                    "
"Email Sender","Remitente de correo electrónico"
"Require Emails Confirmation","Solicitar confirmación por correo electrónico"
"Confirmation Link Email","Enlace de confirmación para el correo electrónico"
"Welcome Email","Mensaje de correo electrónico de bienvenida"
"
                        This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.
                    ","
                        This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.
                    "
"Generate Human-Friendly Customer ID","Generar ID de cliente amigable"
"Password Options","Opciones de contraseña"
"Forgot Email Template","Plantilla para recordatorio de correo electrónico"
"Remind Email Template","Plantilla para el correo electrónico de recordatorio"
"Reset Password Template","Reset Password Template"
"Password Template Email Sender","Password Template Email Sender"
"Recovery Link Expiration Period (days)","Periodo de caducidad del enlace de recuperación (en días)"
"Please enter a number 1 or greater in this field.","Por favor, introduzca número 1 o mayor en este campo."
"Name and Address Options","Opciones de nombre y dirección"
"Number of Lines in a Street Address","Number of Lines in a Street Address"
"Leave empty for default (2). Valid range: 1-4","Dejar en blanco por defecto (2). Rango válido: 1-4"
"Show Prefix","Mostrar prefijo"
"The title that goes before name (Mr., Mrs., etc.)","El título que va antes del nombre (señor, señorita, etc.)"
"Prefix Dropdown Options","Opciones para listas desplegables con prefijo"
"
                        Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.
                    ","
                        Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.
                    "
"Show Middle Name (initial)","Mostrar segundo nombre (inicial)"
"Always optional.","Siempre opcional"
"Show Suffix","Mostrar sufijo"
"The suffix that goes after name (Jr., Sr., etc.)","El sufijo que va después de nombre (padre, hijo, etc.)"
"Suffix Dropdown Options","Opciones para listas desplegables con sufijo"
"Show Date of Birth","Mostrar fecha de nacimiento"
"Show Tax/VAT Number","Mostrar número de IVA/impuestos"
"Show Gender","Mostrar Sexo"
"Login Options","Opciones para el acceso"
"Redirect Customer to Account Dashboard after Logging in","Redirigir a los clientes al Panel de Control de la cuenta después de iniciar sesión"
"Customer will stay on the current page if ""No"" is selected.","El cliente permanecerá en la página actual si se elige «No»."
"Address Templates","Plantillas para direcciones"
"Online Customers Options","Opciones para clientes conectados"
"Online Minutes Interval","Intervalo de minutos con conexión"
"Leave empty for default (15 minutes).","Dejar en blanco para tomar el valor por defecto (15 minutos)."
"Enable Autocomplete on login/forgot password forms","Enable Autocomplete on login/forgot password forms"
"Customer Grid","Customer Grid"
"Rebuild Customer grid index","Rebuild Customer grid index"
"Group","Grupo"
"Add New Customer","Nuevo cliente"
"Delete items","Delete items"
"Are you sure to delete selected customers?","Are you sure to delete selected customers?"
"Subscribe to Newsletter","Suscribir al boletín informativo"
"Unsubscribe from Newsletter","Cancelar suscripción al boletín informativo"
"Are you sure to unsubscribe selected customers from newsletter?","Are you sure to unsubscribe selected customers from newsletter?"
"Assign a Customer Group","Asignar un grupo de clientes"
"Are you sure to assign selected customers to new group?","Are you sure to assign selected customers to new group?"
"Phone","Teléfono"
"ZIP","C.P."
"Customer Since","Cliente desde"
"Last Logged In","Zuletzt angemeldet"
"Confirmed email","Confirmed email"
"Account Created in","Account Created in"
"Tax VAT Number","Tax VAT Number"
"Billing Firstname","Billing Firstname"
"Billing Lastname","Billing Lastname"
"First Name","Nombre"
"Last Name","Apellidos"
"Last Activity","Última actividad"
"Type","Type"
"Customer Information","Información del cliente"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","If your Magento site has multiple views, you can set the scope to apply to a specific view."
"Send Welcome Email From","Send Welcome Email From"
"Addresses","Direcciones"
"Are you sure you want to delete this item?","Are you sure you want to delete this item?"
"Account Dashboard","Cuenta Panel de control"
"Edit Account Information","Editar información de la cuenta"
"Password forgotten","Recordatorio de contraseña"
"My Dashboard","Mi panel de control"
"You are signed out.","You are signed out."
